1. Kategori Shortbow Pemula Putra (2018) - Jarak 3m
Sumber: 1
Peringkat,Nama Peserta,Nama Club,Asal Kota,Total Skor
9,Muhammad Daffa Ibnu Hafidz,Akademi Horsebow Sejati,Balikpapan,565
10,Muhammad Aqsho Qory Ahnaf,AL AZHAR ARCHERY,Samarinda,565
11,Sayyid Yusuf Halim,Minu Archery,Balikpapan,564
12,Abdullooh,Cahaya Ilmu Archery Club,Balikpapan,560
13,Fayyadh Hanifur Rahman,Ar Rajwaa Archery Club,Samarinda,558
14,MUHAMMAD RIDHO APRILIYANTO,NFH ARCHERY,Samarinda,552
15,Azka Hafiz Pratama,RANTAU ARCHERY,Samarinda,538
16,Muhammad raffa alfarizqi,Al azhar archery,Samarinda,534
17,Aysar Abdullah Ismaladi,Cakrawala Kaki Langit Archery,Samarinda,529
18,Raifatih abdurrahman,Cahaya Ilmu Archery,Balikpapan,526
19,Muhammad Arsyad Al Fathir,AL AZHAR ARCHERY,Samarinda,517
20,Arsakha Aurellio Shakeel,AL AZHAR ARCHERY,Samarinda,508
21,Mannaf Alfarizqi,Waqqash Archery Bontang,Bontang,508
22,Muhammad Afkar Alqadr,Arrajwaa Archery Club,Samarinda,503
23,EL Thariq Gibraltar,Cahaya Ilmu,Balikpapan,493
24,Masdavi Fairel Aldebaran,MIN 2 Samarinda,Samarinda,492
25,Salman Al Farizi,Prabu Archery,Penajam,485
26,Akbar Fatih Ash Shiddiq,Al Izzah Archery,Bontang,469
27,Muhammad Izzat Nabhan,Al-Muhajirin Archery Club,Muara Badak,452
28,Muhammad Atid Abidzar,Al-Muhajirin Archery Club,Muara Badak,449
29,Muhammad Taqiyuddin Abdillah,Al Izzah Archery,Bontang,447
30,ADLAN BILAL HABIBIE,Al - Azhar Archery,Samarinda,435
31,Azril Al Hafidz,RANTAU ARCHERY,Samarinda,423
32,Sultan Muhammad Alvarendra,Cakrawala Kaki Langit Archery,Samarinda,419
33,Ukkasyah,FAKARCHERY,Samarinda,401
34,Ahmad Zainu Zein Fahri,RANTAU ARCHERY,Samarinda,389
35,Khalif Abdurrahman,FAKARCHERY,Samarinda,353
36,Habib Aldebaran,Al Muzammil Archery,Penajam,350
37,ABIDZAR MUHAMMAD ALFAIS,FAKARCHERY,Samarinda,340
38,M. al khalifi pratama,RANTAU ARCHERY,Samarinda,330
39,Nuzul Repandi,AL AZHAR ARCHERY,Samarinda,329
40,Syatir Al Ayyubi,Ar Rajwaa Archery Club,Samarinda,318
41,Hanan Muhammad Sasmoyo,AL AZHAR ARCHERY,Samarinda,317
42,RAHEESH MUHAMMAD ARISENA,AL AZHAR ARCHERY,Samarinda,271
4. Kategori Shortbow Pelajar SD Kelas 1-2-3 Putri - Jarak 5m
Sumber: 4
Peringkat,Nama Peserta,Nama Club,Asal Kota,Total Skor
1,Afiyya Tsabita Ahnaf,Akademi Horsebow Sejati,Balikpapan,601
2,Maryam,Ibadurrahaman Archery Club,Kutai Kartanegara,597
3,ALISHBA SABIYA ADEEVA FATIHA,NFH ARCHERY,Samarinda,596
4,ARSYILA FATIMAH,AL AZHAR ARCHERY,Samarinda,589
5,Shafiyyah Putri Satria,Akademi Horsebow Sejati,Balikpapan,588
6,Azkiya Qaireen ElmuIyanto,Rumah Belajar Archery Club,Samarinda,584
7,Nauri Salsabila,Rantau Archery,Samarinda,576
8,Zaskia khaira H,RANTAU ARCHERY,Samarinda,573
9,FELLA QAIREEN,AL AZHAR ARCHERY,Samarinda,572
10,Ranasya Najma Oktarianti,AL AZHAR ARCHERY,Samarinda,564
11,Tsabita,Gold Archery Samarinda,Samarinda,559
12,Halimatussa'diah,AL AZHAR ARCHERY,Samarinda,558
13,Titih Nurul Hasanah,Al Muzammil Archery,Penajam,554
14,Adeeva Aqila Nahdmi,AL AZHAR ARCHERY,Samarinda,550
15,Auren Adonia inonu,AL AZHAR ARCHERY,Samarinda,544
16,Adzkiya Shakila Shareen,AL AZHAR ARCHERY,Samarinda,537
17,Khansa Maisarah Kurniawan,Akademi Horsebow Sejati,Balikpapan,532
18,AZRINA GAZALA FALIHAH,AL AZZAM RIMAYAH CLUB,Sangatta Utara,524
19,Raisha Fakhira Ahmad,Ar Rajwaa Archery Club,Samarinda,521
20,Daisha Arsyila,Prabu Archery,Penajam,520
21,Zaskia Aqila Zahra,Al Izzah Archery,Bontang,520
22,Aqila Putri Karunia Rasti,Rumah Belajar Archery Club,Samarinda,517
23,Raesha Azzahra Qianti Shanum,Al Muzammil Archery,Penajam,516
24,windriya tiara ayudia,RANTAU ARCHERY,Samarinda,515
25,Zhafirah Ramadhani,RANTAU ARCHERY,Samarinda,515
26,Bunga Amelia Putri,Ar Rajwaa Archery Club,Samarinda,514
27,Hanum Salsabila Murti,Gold Archery Samarinda,Samarinda,512
28,Auna Asy Syifa Syakur,Gold Archery Samarinda,Samarinda,504
29,Qheyla Syabilla,Akademi Horsebow Sejati,Balikpapan,499
30,Aisyah qotrunnada,RANTAU ARCHERY,Samarinda,494
31,Dzakiyyah shofiy,Akademi Horsebow Sejati,Balikpapan,487
32,Sheza Raiqa Adlia,Ar Rajwaa Archery Club,Samarinda,487
33,Atifa Naura Mahira,Al-Muhajirin Archery Club,Muara Badak,486
34,Alisyah Bilqis Sakhi,Al Muzammil,Penajam,483
35,Assyifa Nur Tazkiyah,Ar Rajwaa Archery Club,Samarinda,481
36,Khumaira Putri Defalin,RANTAU ARCHERY,Samarinda,477
37,Shafiyyah lbtisamah Alifah,RANTAU ARCHERY,Samarinda,477
38,Naifa Aisyah Nerdha Sumantri,Gold Archery Samarinda,Samarinda,477
39,Shakila Khairina Adha,Prahu Archery,Penajam,470
40,Medina Nur Syahidah,AL AZHAR ARCHERY,Samarinda,468
41,Medina Humaira Azzahra,FAKARCHERY,Samarinda,429
42,Hagia Sophia Az Zahra,FAKARCHERY,Samarinda,424
43,Yumna Fariha Husniyah,Sdit Ar Risallah,Samarinda,417
44,Nabilah Shakilah Arsyad,Al Muzammil Archery,Penajam,413
45,Myesha Mufidah Abulatif Yahya,Khidir Archery Club,Samarinda,410
46,Alesha Kylieluna,RANTAU ARCHERY,Samarinda,408
47,Hafizah Adiibah,AL Azhar Archery,Samarinda,403
48,Alivna Hilya Zia,SD Muhammadiyah 3 Samarinda,Samarinda,363
49,Azkayra Zulaikha Afsheen,Ma'rifah Archery,Balikpapan,359
50,Shafiyyah Izzatul Wafa,SAS,Samarinda,356
51,Asiyah Rania A,Al Izzah Archery,Bontang,342
52,Aerilyn Billvania Cintakirana,Ar Rajwaa Archery Club,Samarinda,338
53,Enni Firahmatin Wibisono,Ar Rajwaa Archery Club,Samarinda,326
54,Kanaya Nur Ashila,RANTAU ARCHERY,Samarinda,307
55,Anisa Ghina Shakirah,Al Muzammil Archery,Penajam,283
56,Nusyaibah Bahira,Al Izzah Archery,Bontang,219
57,,,,0
5. Kategori Shortbow Pelajar SD Kelas 4-5-6 Putra - Jarak 7m
Sumber: 5
Peringkat,Nama Peserta,Nama Club,Asal Kota,Total Skor
1,Ahmad Naufal,Waqqash Archery Bontang,Bontang,602
2,Afiq Syawal Akbar,Arrimayah Nurul Islam Horseba,Kukar,594
3,Radit,NFH ARCHERY,Samarinda,588
4,Mubarok,Arrimayah Nurul Islam Horseba,Kukar,586
5,MUHAMMAD RIFAI,NFH ARCHERY,Samarinda,585
6,M.NAIM BASYAR MUCHTAF,NFH ARCHERY,Samarinda,582
7,Raden Khaizan Arsy Nur Arief,Rumah Belajar Archery Club,Samarinda,578
8,Faidhan Audisepta Djatmiko,Khidir Archery Club,Samarinda,575
9,ABDURRAHMAN,AL-Azzam Rimayah Club,KUTAI TIMUR,571
10,Muhammad Al Abbasy Langit Firda,Akademi Horsebow Sejati,Balikpapan,570
11,Muhammad Aqsho Qory Ahnaf,AL AZHAR ARCHERY,Samarinda,570
12,Pranaja Natha Narendra,AL AZHAR ARCHERY,Samarinda,569
13,Zaky Al Fahrizi,Rumah Belajar Archery Club,Samarinda,565
14,Muhammad Sidiq Hendriawan,Akademi Horsebow Sejati,Balikpapan,563
15,Faith Rizky Naufal .A,Gold Archery Samarinda,Samarinda,555
16,Abdan Khairu Tsabit,Gold Archery Samarinda,Samarinda,554
17,Anindyo Almer Dzaky Saswanto,Rumah Belajar Archery Club,Samarinda,553
18,Maliq Al Ghony,AL AZHAR ARCHERY,Samarinda,551
19,Syailendra Adma Wijaya,Gold Archery Samarinda,Samarinda,550
20,Wistara Kayana Zahid,RANTAU ARCHERY,Samarinda,548
21,Muhammad Rafa Al Ghazali,SD it arisalah,Samarinda,541
22,Reynand Naufal syah,Arrimayah Nurul Islam,Kukar,541
23,Muhammad Naafi,AL AZHAR ARCHERY,Samarinda,536
24,Arshaka Ayman Zaid Saswanto,Rumah Belajar Archery Club,Samarinda,536
25,Muhammad Daffa Ibnu Hafidz,Akademi Horsebow Sejati,Balikpapan,535
26,Mohammad Hasbillah,Minu Archery,Balikpapan,535
27,Muhammad Azka Rachmayadi,AL AZHAR ARCHERY,Samarinda,535
28,Abid Alfarizqi Wibowo,Al-Izzah Archery,Bontang,535
29,Muhammad Labib Haidar,Gold Archery Samarinda,Samarinda,533
30,Fayyadh Hanifur Rahman,Ar Rajwaa Archery Club,Samarinda,533
31,Athaya Afrizal Pratama,Rumah Belajar Archery Club,Samarinda,530
32,Atharizz Calief Abdillah,Ar Rajwaa Archery Club,Samarinda,516
33,Muhammad Iqbal Nur Fadillah,Rumah Belajar Archery Club,Samarinda,512
34,Masdavi Faa'iq Al Adib,MIN 2 Samarinda,Samarinda,508
35,Muhammad khalev El azam,Daud archery,Samarinda,508
36,Athaa Isytahar Qasthalani,FAKARCHERY,Samarinda,497
37,Daehan fairuz El fatih,Daud archery,Samarinda,496
38,Muhammad Azzam Rasyid,AL AZHAR ARCHERY,Samarinda,483
39,Hanif Zhafran Zayyan,Al Muzammil Archery,Penajam,474
40,Sayyid Yusuf Halim,Minu Archery,Balikpapan,468
41,Savaraz Khalil Milzam,Ar Rajwaa Archery Club,Samarinda,455
42,Muhammad Afkar Alqadr,Arrajwaa Archery Club,Samarinda,446
43,Abdullah Fabregas,CAHAYA ILMU ARCHERY CLUB,Balikpapan,442
44,Aditya nouval Agustin,RANTAU ARCHERY,Samarinda,433
45,Andi Althafarizqi Rahman,Khidir archery club,Samarinda,426
46,Ahmad Muflih Abulatif Yahya,Khidir archery club,Samarinda,415
47,Muhammad Rizky Fathurrahman,Akademi Horsebow Sejati,Balikpapan,406
48,Hanif Abdurrohman,SAS,Samarinda,396
49,MANNAF ALFARIZQI,Waqqash Archery Bontang,Bontang,372
50,Muhammad Bagas abdul rashiff,AL AZHAR ARCHERY,Samarinda,280
51,Muhammad khalev al azam,Daud archery,Samarinda,0
52,Daehan fairuz El fatih,Daud archery,Samarinda,0
53,,,,0
54,,,,0
6. Kategori Shortbow Pelajar SD Kelas 4-5-6 Putri - Jarak 7m
Sumber: 6
Peringkat,Nama Peserta,Nama Club,Asal Kota,Total Skor
1,Afiyya Tsabita Ahnaf,Akademi Horsebow Sejati,Balikpapan,593
2,LUTFI WAIBA PUTRI LUPITA,Waqqash Archery Bontang,BONTANG,589
3,Denayu Kheiza Ashila Nur Arief,Rumah Belajar Archery Club,Samarinda,582
4,Shakeela Putri Satria,Akademi Horsebow Sejati,Balikpapan,573
5,AISYAH AFIQA NUR HIDAYAD,NFH ARCHERY,Samarinda,572
6,N Aulia S,Independent,Samarinda,570
7,ALISHBA SABIYA ADEEVA FATIHA,NFH ARCHERY,Samarinda,568
8,Adibah khansa adryssin,Al izzah archery,Bontang,568
9,Nasya Aqila Anindya,RANTAU ARCHERY,Samarinda,565
10,Alfina Azzahra,FAKARCHERY,Samarinda,558
11,Medhina Levana AA,FAKARCHERY,Samarinda,552
12,Anindita Keisha Zahra,Rumah Belajar Archery Club,Samarinda,552
13,ARSYILA FATIMAH,AL AZHAR ARCHERY,Samarinda,551
14,Nas Alka Ilmi Kaisara,AL AZHAR ARCHERY,Samarinda,547
15,Devanya Zakiyah Adlia,Ar Rajwaa Archery Club,Samarinda,545
16,Azkiya Qaireen ElmuIyanto,Rumah Belajar Archery Club,Samarinda,543
17,Nawalia Mayza,Akademi Horsebow Sejati,Balikpapan,542
18,Ranasya Najma Oktarianti,AL AZHAR ARCHERY,Samarinda,539
19,Nur Syifa Fahmi,Gold Archery Samarinda,Samarinda,539
20,Maryam,Ibadurrahaman Archery Club,Kutai Kartanegara,538
21,RABIATUL NURJANNAH,NFH ARCHERY,Samarinda,536
22,Nursyifa Zakiyya Puspandari,Ma'rifah Archery,Balikpapan,531
23,Mecca Lunetta,FAKARCHERY,Samarinda,531
24,Adzkiya Shakila Shareen,AL AZHAR ARCHERY,Samarinda,529
25,Zhafirah Tsabita Azzahra,Individu,Samarinda,529
26,Thisa,Sehati Archery club,Samarinda,528
27,Fathiya Adenaya Hadi,Cahaya Ilmu Archery,Balikpapan,525
28,Zahrana Khadijah princess Mecca,al azhar archery,Samarinda,517
29,Ashilah Diantoro,FAKARCHERY,Samarinda,517
30,Nesrien Hanin,Ibadurrahaman Archery Club,Kutai Kartanegara,517
31,Nur Aisyoh,Rumah Belajar Archery Club,Samarinda,515
32,Naima Nur Afifah,SD Muhammadiyah,Anggana,514
33,Ameera Zahra,FAKARCHERY,Samarinda,512
34,Tsabita Rumaisha Assarly,Gold Archery Samarinda,Samarinda,511
35,Puri Maulida Oktaviani,Rumah Belajar Archery Club,Samarinda,505
36,Halimatussa'diah,AL AZHAR ARCHERY,Samarinda,494
37,Hafiza Khaira lubna,AL AZHAR ARCHERY,Samarinda,492
38,Oriana Dzaqirah Anindita,Minu Archery,Balikpapan,490
39,Ainul Mardhiyyah,Al izzah Archery,Bontang,490
40,Suci Ashari Ambarwati,Gold Archery Samarinda,Samarinda,486
41,FELLA QAIREEN,AL AZHAR ARCHERY,Samarinda,484
42,Raisya Afifa Farhana,Akademi Horsebow Sejati,Balikpapan,483
43,Hazanah nur hanan,Al izzah Archery,Bontang,480
44,Alima Aisyaturridha,Al Muzammil Archery,Penajam,480
45,Izzatul Mayla Nafizah,AL AZHAR ARCHERY,Samarinda,470
46,Farishtaa Aurelia Zhafira,Rumah Belajar Archery Club,Samarinda,469
47,Bunga Amelia Putri,Ar Rajwaa Archery Club,Samarinda,464
48,Shofie Diana Salsabila,AL AZHAR ARCHERY,Samarinda,462
49,Adeeva Aqila Nahdmi,AL AZHAR ARCHERY,Samarinda,461
50,Lakeisha Saufa Azzahra,Al Muzammil Archery,Penajam,452
51,Martsheilly Bintang Nuraini,Sehati Archery Club,Samarinda,446
52,Na 'imah Kanza Azzahra,SD Muhammadiyah 1 Anggana,Anggana,445
53,Auren Adonia inonu,AL AZHAR ARCHERY,Samarinda,442
54,Shireen Hafizah Khayyirah Lubna,FAKARCHERY,Samarinda,438
55,Eny Syahirah,Ibadurrahman Archery club,Tenggarong Seberang,415
56,Khairunnisa Novia Sari,Ma'rifah Archery,Balikpapan,414
57,Rara,Ar Rajwaa Archery Club,Samarinda,414
58,Syabil Ahza Zahra,SD Muhammadiyah,Anggana,412
59,Qheyla Syabilla,AHS,Balikpapan,410
60,Keisha Nazmi Az-Zahra,Cakrawala Kaki Langit Archery,Samarinda,408
61,Ken fathiya haura el hazima,AL AZHAR ARCHERY,Samarinda,406
62,AZRINA GAZALA FALIHAH,AL azzam rimayah club,Sangatta Utara,400
63,MARYAM HANA HUMAIRA,AL AZHAR ARCHERY,Samarinda,397
64,Haura Azkiyyha,Ar Rajwaa Archery,Samarinda,381
65,Alena Zahwa Athifa,RANTAU ARCHERY,Samarinda,379
66,Faidha Zharufa Arisha Sumantri,Gold Archery Samarinda,Samarinda,376
67,Syakira Alifa Rasyidah,Archery Cordova,Samarinda,368
68,ANISA AQILAH AZZARAH,AL AZHAR ARCHERY,Samarinda,360
69,Zahra Talita Syahla,Individu,Samarinda,348
70,Raisa Atheya Al-Jumu'ah,Kholid bin Walid Archery Club,Sangasanga,344
71,Andi Farah Fathiyah Rahman,Khidir archery club,Samarinda,270
72,Claudya Valentina Anggraini,Cakrawala,Samarinda,0
73,Cut Munifah Karimah,Ar Rajwaa Archery Club,Samarinda,0
74,AQILA RISKI APRILIANI,Waqqash Archery Bontang,Bontang,0
75,Sumayyah Haura Avicenna,Al izzah Archery,Bontang,0
76,MARYAM HANIYN SHOLIHAH,Waqqash Archery Bontang,Bontang,0
77,,,,0
7. Kategori Shortbow Pelajar SMP Putra - Jarak 10m
Sumber: 7
Peringkat,Nama Peserta,Nama Club,Asal Kota,Total Skor
1,Dhirgham Haidar arhab,KAC 99,Sanga sanga,585
2,Muhammad Faiz Arju Yafie,Muhammadiyah Integrared Sch,Samarinda,573
3,Ahmad Naufal,Waqqash Archery Bontang,Bontang,570
4,Muhammad Rosyid Fadhilah,Gold Archery Samarinda,Samarinda,569
5,Raden Khaizan Arsy Nur Arief,Rumah Belajar Archery Club,Samarinda,554
6,RADIT,NFH ARCHERY,Samarinda,550
7,Afiq Syawal Akbar,Arrimayah Nurul Islam Horseba,Kukar,548
8,M.NAIM BASYAR MUCHTAF,NFH ARCHERY,Samarinda,543
9,Athaya Afrizal Pratama,Rumah Belajar Archery Club,Samarinda,535
10,Ernanda Wijayanto,Arrimayah Nurul Islam Horseba,Kukar,530
11,Lathief Akmal EL Azzam,AL AZHAR ARCHERY,Samarinda,529
12,PRANAJA NATHA NARENDRA,AL AZHAR ARCHERY,Samarinda,524
13,Syarezia Albie,Akademi Horsebow Sejati,Balikpapan,511
14,Muhammad Daffa Ibnu Hafidz,Akademi Horsebow Sejati,Balikpapan,510
15,MUHAMMAD RAFI ILHAM,AL-MAHSYAR NURUL IMAN,TENGGARONG,507
16,Ahmad Fikri Khoirullah,Madina archery,Samarinda,507
17,MUHAMMAD DZAKKY ALKHAIRY,Al azzam Rimayah Club,Sangatta Kutai Tim,505
18,Ibrahim Abey Fahlefi,Akademi Horsebow Sejati,Balikpapan,500
19,Mohammad Hasbillah,Minu Archery,Balikpapan,494
20,Anang Nurwahyudi,Arrimayah Nurul Islam Horseba,Kukar,494
21,Anindyo Almer Dzaky Saswanto,Rumah Belajar Archery Club,Samarinda,492
22,Zaky Al Fahrizi,Rumah Belajar Archery Club,Samarinda,485
23,Khidhir Helmi,Madina archery,Samarinda,484
24,Reynand Naufal syah,Arrimayah Nurul Islam,Kukar,483
25,Muhammad Azka Rachmayadi,AL AZHAR ARCHERY,Samarinda,482
26,Arshaka Ayman Zaid Saswanto,Rumah Belajar Archery Club,Samarinda,479
27,Muhammad Al Abbasy Langit Firda,Akademi Horsebow Sejati,Balikpapan,466
28,Athaa Isytahar Qasthalani,FAKARCHERY,Samarinda,460
29,M. Rayyan Atallah,AL AZHAR ARCHERY,Samarinda,453
30,Rasya Ganendra Arka Pratama,SMP Islamic Centre Samarinda,Samarinda,452
31,Masdavi Faa'iq Al Adib,MIN 2 Samarinda,Samarinda,446
32,Muhammad Azzam Rasyid,AL AZHAR ARCHERY,Samarinda,411
33,Roshan Akram Ubaidillah,Mumtaza Panahan,Samarinda,410
34,Furqon ardian noor,Spagrat Archery,Balikpapan,409
35,Muhammad Rizky Zailani,AL-Mahsyar Nurul Iman Archery,Tenggarong,405
36,Muhammad Alfian Fadhil,AL AZHAR ARCHERY,Samarinda,396
37,Muhammad Iqbal Nur Fadillah,Rumah Belajar Archery Club,Samarinda,382
38,Muhammad Umar Faruq,Madina archery,Samarinda,370
39,Tegar Dwi Prasetya,AL-Mahsyar Nurul Iman Archery,Samarinda,350
40,MUHAMMAD RUMMI AL AYYUBI,AL-MAHSYAR NURUL IMAN,SAMARINDA,329
41,Muhammad Jahriansyah,AL-Mahsyar Nurul Iman Archery,Tenggarong,329
42,Haris Abidus Sholehudin,AL-MAHSYAR NURUL IMAN,TENGGARONG,316
43,Muhammad Revan Setiawan,AL-Mahsyar Nurul Iman Archery,Samarinda,307
44,RISKI KHOIRUL FADILLAH,AL-MAHSYAR NURUL IMAN,TENGGARONG,217
45,Sholihul Fathan,Akademi Horsebow Sejati,Balikpapan,0
8. Kategori Shortbow Pelajar SMP Putri - Jarak 10m
Sumber: 8
Peringkat,Nama Peserta,Nama Club,Asal Kota,Total Skor
1,AISYAH ARSAA RABBANI,Waqqash Archery Bontang,BONTANG,582
2,Syakira Faiha Ahmad,Ar Rajwaa Archery Club,Samarinda,561
3,Aisha Labiba Trisnaputra,NFH ARCHERY,Samarinda,547
4,AQILA RISKI APRILIA,Waqqash Archery Bontang,Bontang,541
5,Alfina Azzahra,FAKARCHERY,Samarinda,534
6,Calista Nesha Fauni Ardian P,RANTAU ARCHERY,Samarinda,531
7,Shakeela Putri Satria,Akademi Horsebow Sejati,Balikpapan,530
8,Denayu Khanza Ashila Nur Arief,Rumah Belajar Archery Club,Samarinda,529
9,AURELIA,Arrimayah Nurul Islam,Muara jawa,525
10,Denayu Kheiza Ashila Nur Arief,Rumah Belajar Archery Club,Samarinda,524
11,LUTFI WAIBA PUTRI LUPITA,Waqqash Archery Bontang,Bontang,524
12,Nayla Prasasty,Minu Archery,Balikpapan,521
13,MARYAM HANIYN SHOLIHAH,Waqqash Archery Bontang,Bontang,521
14,Nawalia Mayza,Akademi Horsebow Sejati,Balikpapan,515
15,AISYAH AFIQA NUR HIDAYAD,NFH ARCHERY,Samarinda,515
16,Anindita Keisha Zahra,Rumah Belajar Archery Club,Samarinda,512
17,N Aulia S,Independent,Samarinda,512
18,ALISHBA SABIYA ADEEVA FATIHA,NFH ARCHERY,Samarinda,511
19,Naurah Aqilah,Arrimayah Nurul Islam,Muara jawa,503
20,Medhina Levana AA,FAKARCHERY,Samarinda,502
21,RABIATUL NURJANNAH,NFH ARCHERY,Samarinda,495
22,Abidah Nazmi Zarifa,AL-Mahsyar Nurul Iman Archery,Tenggarong,492
23,NADIA RASIDA 23 12 2010,Waqqash Archery Bontang,BONTANG,491
24,Hafiza Khaira lubna,AL AZHAR ARCHERY,Samarinda,485
25,Sabrina Septiana Widya Astuthy,Waqqash Archery Bontang,Bontang,484
26,Rizky Anggraini,Muhammadiyah Integrated Sch,Samarinda,466
27,Mecco Lunetta AA,FAKARCHERY,Samarinda,465
28,Nas Alka Ilmi Kaisara,AL AZHAR ARCHERY,Samarinda,457
29,Syifa jamilah muthmainah,Akademi Horsebow Sejati,Balikpapan,444
30,Intan Mulya,Dhiya' Rabbany Archery Mu'min,Samarinda,444
31,Maritza ratifa azka,Al Izzah Archery,Bontang,435
32,PUTRI NAYLA HUZNA,AL AZHAR ARCHERY,Samarinda,428
33,Nurazizah,Spagrat Archery,Balikpapan,428
34,Nur Rahma,Spagrat Archery,Balikpapan,425
35,Aliya Nursalma Lahjie,Dhiya' Rabbany Archery Mu'min,Samarinda,424
36,Maulida Sakinah,Ma'rifah Archery,Balikpapan,422
37,Shafa Salsabila Hamid,Muhammadiyah Integrated Sch,Samarinda,420
38,Khalisha Aila Syafiqa,Muhammadiyah integrated sch,Samarinda,407
39,Nur Aisyah,Rumah Belajar Archery Club,Samarinda,404
40,Zhafirah Tsabita Azzahra,Individu,Samarinda,402
41,Fakhrunnisa,Al Muzammil,Penajam,399
42,DIFA SALSABILLA AZZAHRA,AL-MAHSYAR NURUL IMAN,TENGGARONG,394
43,Raisya Afifa Farhana,Akademi Horsebow Sejati,Balikpapan,392
44,Hana Zalfa Zahirah,Al Muzammil Archery,Penajam,391
45,Ameera Zahra,FAKARCHERY,Samarinda,378
46,Ashilah Diantoro,FAKARCHERY,Samarinda,378
47,Shofie Diana Salsabila,AL AZHAR ARCHERY,Samarinda,359
48,NAJWA MIKAYLA YUSIRA,Darussalam Archery Club,Samarinda,353
49,SALWA AQILA OKATIVA,AL-MAHSYAR NURUL IMAN AR,SAMARINDA,348
50,NUR ASIFA SALSA MEILANI,AL-MAHSYAR NURUL IMAN AR,TENGGARONG,324
51,Shireen Hafizah Khayyirah Lubna,FAKARCHERY,Samarinda,311
52,Oriana Dzaqirah Anindita,Minu Archery,Balikpapan,306
53,AQILA KARUNIA PUTRI RASTI,Rumah Belajar Archery Club,Samarinda,288
54,Tania Mulia,Dhiya' Rabbany Archery Club,Tenggarong,281
55,Intan Nur Aisya Putri,Dhiya' Rabbany Archery Kaliman,Samarinda,264
56,Nazwa Balqis Ariya,Muhammadiyah Integrated Sch,Samarinda,257
57,Tasya Nur Kholifah,Al Muzammil Archery,Penajam,251
